Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
68,About Last Night (2014),SGem,"$48,637,684","2,253","$25,649,011","2,253",2/14,4/27
69,Into The Storm,WB (NL),"$47,602,194","3,434","$17,346,427","3,434",8/8,11/20
70,The Judge,WB,"$47,119,388","3,003","$13,116,226","3,003",10/10,1/15
71,Jersey Boys,WB,"$47,047,013","2,905","$13,319,371","2,905",6/20,9/25
72,Blended,WB,"$46,294,610","3,555","$14,284,031","3,555",5/23,8/28
73,The Giver,Wein.,"$45,090,374","3,003","$12,305,016","3,003",8/15,12/11
74,St. Vincent,Wein.,"$44,137,712","2,552","$109,878",4,10/10,3/5
75,Need for Speed,BV,"$43,577,636","3,115","$17,844,939","3,115",3/14,6/19
76,A Million Ways to Die in the West,Uni.,"$43,139,300","3,160","$16,797,385","3,158",5/30,7/17
77,John Wick,LG/S,"$43,037,835","2,589","$14,415,922","2,589",10/24,1/22
78,Birdman,FoxS,"$42,340,598","1,213","$424,397",4,10/17,4/16
79,Dolphin Tale 2,WB,"$42,024,533","3,656","$15,873,397","3,656",9/12,12/18
80,The Expendables 3,LGF,"$39,322,544","3,221","$15,879,645","3,221",8/15,10/16
81,Earth to Echo,Rela.,"$38,934,842","3,230","$8,364,658","3,230",7/2,10/30
82,Sex Tape,Sony,"$38,543,473","3,062","$14,608,152","3,062",7/18,9/21
83,Wild (2014),FoxS,"$37,880,356","1,361","$606,810",21,12/3,5/7
84,Million Dollar Arm,BV,"$36,457,627","3,019","$10,515,659","3,019",5/16,8/21
85,The Theory of Everything,Focus,"$35,893,537","1,220","$208,763",5,11/7,4/16
86,This is Where I Leave You,WB,"$34,296,320","2,868","$11,558,149","2,868",9/19,12/4
87,The Gambler,Par.,"$33,680,992","2,494","$9,129,999","2,478",12/25,2/19
88,Paranormal Activity: The Marked Ones,Par.,"$32,462,372","2,883","$18,343,611","2,867",1/3,2/20
89,Nightcrawler,ORF,"$32,381,217","2,766","$10,441,000","2,766",10/31,2/5
90,Chef,ORF,"$31,424,003","1,298","$204,961",6,5/9,9/11
