Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
70,Brooklyn,FoxS,"$38,322,743",962,"$187,281",5,11/4,5/26
71,The Longest Ride,Fox,"$37,446,117","3,371","$13,019,686","3,366",4/10,7/9
72,The Boy Next Door,Uni.,"$35,423,380","2,615","$14,910,105","2,602",1/23,3/12
73,Pan,WB,"$35,088,320","3,515","$15,315,435","3,515",10/9,1/7
74,Hot Pursuit,WB,"$34,580,201","3,037","$13,942,258","3,003",5/8,7/30
75,Concussion (2015),Sony,"$34,542,474","2,841","$10,513,749","2,841",12/25,3/17
76,The DUFF,LGF,"$34,030,343","2,622","$10,809,149","2,575",2/20,5/14
77,Woman in Gold,Wein.,"$33,307,793","2,011","$2,091,551",258,4/1,8/13
78,The Second Best Exotic Marigold Hotel,FoxS,"$33,078,266","2,022","$8,540,370","1,573",3/6,6/25
79,Unfriended,Uni.,"$32,482,090","2,775","$15,845,115","2,739",4/17,5/28
80,Entourage,WB,"$32,363,404","3,108","$10,283,250","3,108",6/3,8/13
81,Paper Towns,Fox,"$32,000,304","3,031","$12,650,140","3,031",7/24,10/15
82,Chappie,Sony,"$31,569,268","3,201","$13,346,782","3,201",3/6,5/3
83,Crimson Peak,Uni.,"$31,090,320","2,991","$13,143,310","2,984",10/16,11/26
84,A Walk in the Woods,BG,"$29,504,281","2,158","$8,246,267","1,960",9/2,12/20
85,Point Break (2015),WB,"$28,782,481","2,910","$9,800,252","2,910",12/25,2/25
86,Sinister 2,Focus,"$27,740,955","2,799","$10,542,116","2,766",8/21,10/29
87,The Last Witch Hunter,LG/S,"$27,367,660","3,082","$10,812,861","3,082",10/23,12/31
88,No Escape,Wein.,"$27,288,872","3,415","$8,111,264","3,355",8/26,11/26
89,Ricki and the Flash,TriS,"$26,822,144","2,064","$6,610,961","1,603",8/7,10/11
90,The Woman in Black 2: Angel of Death,Rela.,"$26,501,323","2,602","$15,027,415","2,602",1/2,3/19
91,Run All Night,WB,"$26,461,644","3,171","$11,012,305","3,171",3/13,5/7
92,Love the Coopers,LGF,"$26,302,731","2,603","$8,317,545","2,603",11/13,1/14
93,The Lazarus Effect,Rela.,"$25,801,047","2,666","$10,203,437","2,666",2/27,6/11
94,Ex Machina,A24,"$25,442,958","2,004","$237,264",4,4/10,9/3
95,In the Heart of the Sea,WB,"$25,020,758","3,103","$11,053,366","3,103",12/11,2/11
96,The Gallows,WB,"$22,764,410","2,720","$9,808,463","2,720",7/10,9/17
97,Hitman: Agent 47,Fox,"$22,467,450","3,273","$8,326,530","3,261",8/21,10/15
98,Project Almanac,Par.,"$22,348,241","2,900","$8,310,252","2,893",1/30,3/26
99,Black or White,Rela.,"$21,571,189","1,823","$6,213,362","1,823",1/30,5/14
100,Aloha,Sony,"$21,067,116","2,815","$9,670,235","2,815",5/29,7/30
101,The Secret in their Eyes (2015),STX,"$20,180,155","2,392","$6,652,996","2,392",11/20,1/14
102,Shaun the Sheep Movie,LGF,"$19,375,982","2,360","$4,038,962","2,320",8/5,10/22
103,Still Alice,SPC,"$18,754,371","1,318","$197,000",12,1/16,5/21
104,Paranormal Activity: The Ghost Dimension,Par.,"$18,300,124","1,656","$8,070,493","1,656",10/23,11/24
105,Steve Jobs,Uni.,"$17,766,658","2,493","$521,522",4,10/9,12/13
106,Mr. Holmes,RAtt.,"$17,737,646",898,"$2,434,908",361,7/17,11/5
107,Dope,ORF,"$17,506,470","2,002","$6,100,010","2,002",6/19,9/17
108,Seventh Son,Uni.,"$17,223,265","2,875","$7,217,640","2,875",2/6,3/19
109,Monkey Kingdom,BV,"$16,432,322","2,012","$4,577,861","2,012",4/17,7/23
110,The Transporter Refueled,EC,"$16,029,670","3,434","$7,355,622","3,434",9/4,11/19
111,Room,A24,"$14,677,654",862,"$118,298",4,10/16,4/24
112,It Follows,RTWC,"$14,674,076","1,655","$160,089",4,3/13,6/25
113,American Ultra,LGF,"$14,440,985","2,778","$5,454,284","2,778",8/21,10/8
114,Woodlawn,PFR,"$14,394,097","1,553","$4,002,226","1,553",10/16,2/11
115,Burnt,Wein.,"$13,651,946","3,003","$5,002,521","3,003",10/30,2/11
116,Do You Believe?,PFR,"$12,985,600","1,356","$3,591,282","1,320",3/20,6/25
117,Carol,Wein.,"$12,711,491",790,"$253,510",4,11/20,3/31
118,Love & Mercy,RAtt.,"$12,551,031",791,"$2,122,177",481,6/5,10/1
119,Strange Magic,BV,"$12,429,583","3,020","$5,504,441","3,020",1/23,4/16
120,Hot Tub Time Machine 2,Par.,"$12,314,651","2,901","$5,963,324","2,880",2/20,3/26
121,Self/Less,Focus,"$12,279,691","2,353","$5,403,460","2,353",7/10,8/27
122,Far from the Madding Crowd,FoxS,"$12,236,500",902,"$164,985",10,5/1,8/13
123,The 33,WB,"$12,227,722","2,452","$5,787,266","2,452",11/13,1/21
124,The Danish Girl,Focus,"$11,114,018",794,"$187,318",4,11/27,3/17
